year,rate
1966,44.396
1967,43.269
1968,42.226
1969,41.288
1970,40.433
1971,39.609
1972,38.777
1973,37.933
1974,37.118
1975,36.435
1976,36.017
1977,35.944
1978,36.237
1979,36.861
1980,37.725
1981,38.701
1982,39.628
1983,40.371
1984,40.853
1985,41.022
1986,40.876
1987,40.489
1988,39.931
1989,39.235
1990,38.433
1991,37.551
1992,36.616
1993,35.654
1994,34.694
1995,33.76
1996,32.865
1997,32.002
1998,31.168
1999,30.365
2000,29.587
2001,28.822
2002,28.06
2003,27.303
2004,26.557
2005,25.845
2006,25.19
2007,24.612
2008,24.121
1960,45.366
1961,45.001
1962,44.349
1963,43.388
1964,42.141
1965,40.652
1966,38.996
1967,37.284
1968,35.628
1969,34.106
1970,32.796
1971,31.751
1972,30.955
1973,30.384
1974,30.024
1975,29.849
1976,29.818
1977,29.872
1978,29.955
1979,30.026
1980,30.064
1981,30.067
1982,30.045
1983,29.997
1984,29.9
1985,29.721
1986,29.421
1987,28.987
1988,28.419
1989,27.73
1990,26.946
1991,26.101
1992,25.243
1993,24.412
1994,23.633
1995,22.925
1996,22.293
1997,21.719
1998,21.185
1999,20.686
2000,20.204
2001,19.72
2002,19.226
2003,18.721
2004,18.213
2005,17.726
2006,17.294
2007,16.941
2008,16.677
1960,31.95
1961,33.187
1962,34.162
1963,34.723
1964,34.8
1965,34.401
1966,33.622
1967,32.639
1968,31.591
1969,30.522
1970,29.405
1971,28.167
1972,26.742
1973,25.123
1974,23.369
1975,21.588
1976,19.919
1977,18.479
1978,17.356
1979,16.587
1980,16.183
1981,16.114
1982,16.27
1983,16.541
1984,16.854
1985,17.128
1986,17.299
1987,17.346
1988,17.259
1989,17.025
1990,16.653
1991,16.169
1992,15.63
1993,15.085
1994,14.563
1995,14.09
1996,13.681
1997,13.33
1998,13.024
1999,12.761
2000,12.525
2001,12.295
2002,12.053
2003,11.789
2004,11.505
2005,11.213
2006,10.933
2007,10.686
2008,10.488
2007,13.8
1960,26.57
1961,26.071
1962,25.467
1963,24.768
1964,23.994
1965,23.163
1966,22.292
1967,21.413
1968,20.562
1969,19.78
1970,19.108
1971,18.586
1972,18.223
1973,18.02
1974,17.978
1975,18.096
1976,18.371
1977,18.763
1978,19.223
1979,19.703
1980,20.145
1981,20.492
1982,20.716
1983,20.8
1984,20.734
1985,20.53
1986,20.221
1987,19.854
1988,19.466
1989,19.069
1990,18.656
1991,18.203
1992,17.687
1993,17.101
1994,16.455
1995,15.772
1996,15.076
1997,14.402
1998,13.778
1999,13.224
2000,12.756
2001,12.379
2002,12.08
2003,11.847
2004,11.675
2005,11.561
2006,11.499
2007,11.481
2008,11.496
1960,15
1962,14.4
1965,14.4
1967,14.4
1970,15.96
1972,17
1975,17.54
1977,17.9
1980,15.44
1982,13.8
1985,13.32
1987,13
1988,12.8
1989,12.4
1990,12.7
1991,12.6
1992,11.8
1993,11.8
1994,10.3
1995,9.3
1996,9
1997,8.8
1998,8.8
1999,8.7
2000,8.8
2001,8.9
2002,9.09597644257191
2003,9.18331748459146
2004,9.5684076386194
2005,9.986
2006,10.306
2007,11.093
2008,11.47
1960,17.3
1962,17.8058467114784
1965,17.4
1967,16.2865854808297
1970,13.5
1972,11.6812485549133
1975,9.9
1977,10.2448862676867
1980,11
1982,10.7952243569286
1985,10.5
1986,10.9
1987,11.2
1988,11.4
1989,11.2
1990,11.4
1991,10.4
1992,10.1
1993,9.9
1994,9.5
1995,9.3
1996,9.9
1997,9.6
1998,9.7
1999,9.4
2000,9.3
2001,9
2002,8.7
2003,8.6
2004,8.6
2005,8.316
2006,8.166
2007,8.325
2008,8.312
1960,51.109
1961,51.184
1962,51.216
1963,51.195
1964,51.112
1965,50.957
1966,50.723
1967,50.414
1968,50.039
1969,49.606
1970,49.122
1971,48.595
1972,48.037
1973,47.468
1974,46.905
1975,46.371
1976,45.883
1977,45.449
1978,45.072
1979,44.753
1980,44.497
1981,44.303
1982,44.154
1983,44.027
1984,43.899
1985,43.75
1986,43.56
1987,43.314
1988,42.994
1989,42.581
1990,42.045
1991,41.359
1992,40.528
1993,39.574
1994,38.526
1995,37.429
1996,36.336
1997,35.297
1998,34.348
1999,33.508
2000,32.78
2001,32.147
2002,31.572
2003,31.021
2004,30.483
2005,29.952
2006,29.428
2007,28.92
2008,28.435
1970,25.8
1972,37
1973,32.7
1974,29.2
1975,25.1
1976,24.7
1977,24
1978,24
1979,21
1980,24.8
1981,22.5
1982,23.3
1983,24.3
1984,20.8
1985,21.7333333333333
1987,23.6
1990,23
1992,24
1994,21.6
1995,20.35
1996,19.1
1997,21.5
1998,16.2
2000,15.8
2002,15.4
2006,14.9
1960,16.6
1961,16.6
1962,16.7
1963,17.6
1964,17.7
1965,18
1966,18.4
1967,16.8
1968,15.3
1969,14.6
1970,14.4
1971,15.2
1972,15.1
1973,14.3
1974,14.1
1975,14.2
1976,12.9
1977,12.2
1978,12.2
1979,11.6
1980,11.2
1981,10.4
1982,10.3
1983,9.9
1984,10.1
1985,10.5
1986,10.8
1987,11
1988,11.5
1989,12
1990,12.3
1991,12.5
1992,13.1
1993,13
1994,13.4
1995,13.3
1996,12.9
1997,12.8
1998,12.5
1999,12.4
2000,12.6
2001,12.2
2002,11.9
2003,12
2004,12
2005,11.861
2006,11.952
2007,11.738
2008,11.839
1960,51.692
1961,51.041
1962,50.283
1963,49.431
1964,48.5
1965,47.505
1966,46.458
1967,45.373
1968,44.268
1969,43.165
1970,42.078
1971,41.016
1972,39.982
1973,38.986
1974,38.042
1975,37.171
1976,36.393
1977,35.709
1978,35.116
1979,34.605
1980,34.159
1981,33.757
1982,33.373
1983,32.986
1984,32.582
1985,32.158
1986,31.717
1987,31.273
1988,30.832
1989,30.391
1990,29.938
1991,29.457
1992,28.942
1993,28.393
1994,27.819
1995,27.241
1996,26.683
1997,26.168
1998,25.71
1999,25.312
2000,24.971
2001,24.675
2002,24.399
2003,24.125
2004,23.841
2005,23.54
2006,23.217
2007,22.877
2008,22.527
1960,50.698
1961,50.584
1962,50.427
1963,50.224
1964,49.98
1965,49.711
1966,49.441
1967,49.189
1968,48.962
1969,48.756
1970,48.559
1971,48.351
1972,48.105
1973,47.798
1974,47.416
1975,46.956
1976,46.42
1977,45.819
1978,45.157
1979,44.431
1980,43.627
1981,42.725
1982,41.719
1983,40.613
1984,39.421
1985,38.166
1986,36.881
1987,35.593
1988,34.322
1989,33.075
1990,31.824
1991,30.523
1992,29.149
1993,27.706
1994,26.232
1995,24.799
1996,23.496
1997,22.397
1998,21.548
1999,20.962
2000,20.629
2001,20.508
2002,20.519
2003,20.589
2004,20.672
2005,20.737
2006,20.769
2007,20.775
2008,20.759
1960,26.9380138346429
1965,39.1167842358208
1970,35.1265625630379
1975,26.5085971304976
1980,22.3383072595995
1981,24.1876642942558
1982,25.0625408362172
1983,23.4390593009903
1984,23.0989339387368
1985,23.7649839550559
1986,24.5922478189941
1987,25.0616855770614
1988,24.204724852545
1989,23.473089825994
1990,22.9348505646741
1991,21.7844417978461
1992,20.6110638705675
1993,20.3022087517205
1994,19.8407890502052
1995,19.2474032238758
1996,18.9707444830469
1997,18.5179300218368
1998,17.7173523514582
1999,16.8912150953907
2000,16.3537735811494
2001,15.8061708969656
2002,15.3619041887049
2003,14.9710018813751
2004,14.8115785907278
2005,14.8113498053228
2006,14.5180051822654
2007,14.4453315304709
2008,14.39248041004
1960,26.5643853962
1965,36.8877541811
1970,33.3750999712
1975,25.5379044253
1980,21.5944136176
1981,23.1734222333
1982,23.8983422151
1983,22.4026481998
1984,22.0118765323
1985,22.5299753606
1986,23.186262744
1987,23.5781073306
1988,22.8374237835
1989,22.140704227
1990,21.6848121865
1991,20.6855569393
1992,19.659593583
1993,19.3637078472
1994,18.9790562762
1995,18.4173610822
1996,18.1533375024
1997,17.7233300474
1998,16.9700659406
1999,16.2099712325
2000,15.7556201627
2001,15.1949716574
2002,14.7644138431
2003,14.3976073669
2004,14.2148761524
2005,14.1816353811
2006,13.9469253232
2007,13.910841856
2008,13.8607634675
1980,20.2704978968983
1981,20.4097707633732
1982,20.5068952454042
1983,21.0346218736923
1984,20.85017112489
1985,20.6261816171635
1986,20.9104580720161
1987,20.5850175220893
1988,19.7983355833304
1989,18.7478848151391
1990,17.8947386167171
1991,17.0161040963072
1992,16.108775538685
1993,15.2630065804129
1994,14.9000018963665
1995,14.4951735977882
1996,14.0020585734395
1997,13.4973889820074
1998,13.2730948233041
1999,12.855831644041
2000,12.8500454627291
2001,12.8157973884428
2002,13.1273429704562
2003,13.164851826785
2004,13.5071905432916
2005,13.4186100379512
2006,13.7118393967537
2007,14.1654088905713
2008,14.6629834613445
1960,21.2407901369
1965,20.2683985293
1970,18.6221725215
1975,17.0572384752
1980,16.6183963148
1981,17.1713622703
1982,16.4679874739
1983,17.2350870096
1984,17.0726077597
1985,16.2279273326
1986,16.3593352198
1987,16.1777358932
1988,15.8081297421
1989,15.2175342387
1990,14.8771139549
1991,14.3686866899
1992,13.7848646369
1993,13.1705497977
1994,12.8400003594
1995,12.5156369828
1996,12.3089576757
1997,11.9984254238
1998,11.8436521625
1999,11.6042225718
2000,11.6607736329
2001,11.5116775646
2002,11.5746469537
2003,11.655302163
2004,11.8737848553
2005,11.8095729376
2006,12.0144616618
2007,12.257552106
2008,12.6117850689
1960,44.429
1961,44.293
1962,44.144
1963,43.974
1964,43.776
1965,43.542
1966,43.267
1967,42.95
1968,42.594
1969,42.202
1970,41.781
1971,41.34
1972,40.888
1973,40.428
1974,39.96
1975,39.478
1976,38.973
1977,38.435
1978,37.857
1979,37.238
1980,36.577
1981,35.875
1982,35.14
1983,34.383
1984,33.614
1985,32.837
1986,32.058
1987,31.281
1988,30.516
1989,29.774
1990,29.075
1991,28.434
1992,27.858
1993,27.345
1994,26.889
1995,26.475
1996,26.084
1997,25.693
1998,25.287
1999,24.857
2000,24.4
2001,23.921
2002,23.435
2003,22.953
2004,22.483
2005,22.031
2006,21.599
2007,21.189
2008,20.8
1960,45.982
1961,45.39
1962,44.782
1963,44.182
1964,43.605
1965,43.051
1966,42.507
1967,41.96
1968,41.409
1969,40.871
1970,40.381
1971,39.985
1972,39.707
1973,39.554
1974,39.516
1975,39.564
1976,39.653
1977,39.731
1978,39.757
1979,39.71
1980,39.608
1981,39.487
1982,39.377
1983,39.276
1984,39.147
1985,38.894
1986,38.397
1987,37.593
1988,36.471
1989,35.071
1990,33.497
1991,31.888
1992,30.395
1993,29.133
1994,28.154
1995,27.47
1996,27.042
1997,26.766
1998,26.554
1999,26.367
2000,26.182
2001,25.994
2002,25.814
2003,25.649
2004,25.488
2005,25.319
2006,25.134
2007,24.929
2008,24.698
1960,18.7018736353994
1965,18.6117364348945
1970,16.3021190440861
1975,13.9532703183923
1980,13.1482938247457
1981,13.5555829459434
1982,12.6240331349832
1983,12.6885613361442
1984,12.4872747093154
1985,11.7711358130717
1986,11.7497004535713
1987,11.8079391469925
1988,11.7124557247592
1989,11.5136553258538
1990,11.6271797426379
1991,11.3321001068045
1992,11.1061073995602
1993,10.7618444220657
1994,10.4731360184392
1995,10.3529110001635
1996,10.5357096061231
1997,10.4221885588621
1998,10.4545254980055
1999,10.4398477177724
2000,10.6506087734301
2001,10.3805337727846
2002,10.2875953198141
2003,10.3221829532268
2004,10.3789042817339
2005,10.2649836380912
2006,10.3287091881277
2007,10.3089586726672
2008,10.4838567487622
1960,48.96
1961,48.821
1962,48.662
1963,48.492
1964,48.314
1965,48.128
1966,47.923
1967,47.69
1968,47.428
1969,47.141
1970,46.845
1971,46.56
1972,46.299
1973,46.065
1974,45.851
1975,45.634
1976,45.38
1977,45.064
1978,44.677
1979,44.222
1980,43.724
1981,43.216
1982,42.736
1983,42.311
1984,41.951
1985,41.655
1986,41.411
1987,41.192
1988,40.973
1989,40.744
1990,40.487
1991,40.189
1992,39.857
1993,39.501
1994,39.137
1995,38.797
1996,38.521
1997,38.331
1998,38.234
1999,38.222
2000,38.276
2001,38.364
2002,38.439
2003,38.46
2004,38.397
2005,38.223
2006,37.922
2007,37.504
2008,36.983
1960,21.7
1961,21.2
1962,21.1
1963,21.3
1964,21.9
1965,21
1966,20.6
1967,20.7
1968,20.1
1969,19.9
1970,19.6
1971,19.6
1972,19.4
1973,19.3
1974,19.5
1975,18.8
1976,18.9
1977,18
1978,17.3
1979,16.3
1980,15.2
1981,14.1
1982,13.6
1983,12.7
1984,12.3
1985,11.7
1986,11.2
1987,12.1
1988,10.7
1989,10.4
1990,10.3
1991,10.15
1992,10.2
1993,9.9
1994,9.33
1995,9.1
1996,9.23
1997,9.38
1998,9.28
1999,9.58
2000,9.91
2001,10.1
2002,10.1
2003,10.5
2004,10.6
2005,10.746
2006,10.947
2007,11.001
2008,11.391
1960,16.16
1962,15.8
1965,15.2
1967,14.8
1970,15.22
1972,15.5
1975,15.32
1977,15.2
1980,15.5
1982,15.7
1985,15.64
1987,15.6
1988,16
1989,15.5
1990,14.2
1991,12.4
1992,11.8
1993,10.2
1994,9.7
1995,9.4
1996,9.4
1997,8.7
1998,9
1999,9
2000,9.5
2001,9.3
2002,9
2003,9.6
2004,10.4
2005,10.66
2006,11.073
2007,11.758
2008,11.955
1960,47.896
1961,47.927
1962,47.961
1963,47.98
1964,47.972
1965,47.927
1966,47.842
1967,47.727
1968,47.591
1969,47.438
1970,47.269
1971,47.083
1972,46.886
1973,46.689
1974,46.504
1975,46.354
1976,46.26
1977,46.231
1978,46.272
1979,46.38
1980,46.55
1981,46.77
1982,47.016
1983,47.264
1984,47.496
1985,47.701
1986,47.875
1987,48.018
1988,48.118
1989,48.159
1990,48.112
1991,47.95
1992,47.661
1993,47.248
1994,46.716
1995,46.078
1996,45.352
1997,44.572
1998,43.774
1999,42.987
2000,42.242
2001,41.565
2002,40.959
2003,40.418
2004,39.939
2005,39.505
2006,39.093
2007,38.676
2008,38.23
1960,18.5213290000993
1965,17.9180620310405
1970,16.4249283571805
1975,14.6414262876104
1980,13.9811460290372
1981,14.1281702243068
1982,13.3582051312038
1983,13.4269615929639
1984,13.3401240616736
1985,12.7923135319791
1986,12.6632347208776
1987,12.7187702330384
1988,12.6592445368631
1989,12.4204459117662
1990,12.3757594188313
1991,12.045508365678
1992,11.7338614125044
1993,11.3285557572296
1994,11.0186081734492
1995,10.7003723838664
1996,10.7551700515599
1997,10.5886135639385
1998,10.5266802946409
1999,10.4692201477509
2000,10.562140601493
2001,10.3240901495793
2002,10.1773120829816
2003,10.3094239804766
2004,10.4318656020799
2005,10.4073436230152
2006,10.5446211135618
2007,10.6110926934367
2008,10.8577971252742
1960,18.5
1961,18.4
1962,18.1
1963,18.2
1964,17.7
1965,17.1
1966,17
1967,16.8
1968,15.9
1969,14.6
1970,14
1971,13.2
1972,12.7
1973,12.2
1974,13.3
1975,13.9
1976,14.1
1977,13.8
1978,13.4
1979,13.3
1980,13.1
1981,13.2
1982,13.7
1983,13.8
1984,13.4
1985,12.8
1986,12.4
1987,12
1988,12.8
1989,12.8
1990,13.1
1991,13
1992,13.3
1993,12.8
1994,12.8
1995,12.3
1996,11.8
1997,11.5
1998,11.1
1999,11.1
2000,11
2001,10.8
2002,10.7
2003,10.8
2004,11
2005,11.007
2006,11.173
2007,11.105
2008,11.204
1960,44.813
1961,43.799
1962,42.692
1963,41.533
1964,40.366
1965,39.213
1966,38.083
1967,36.978
1968,35.915
1969,34.927
1970,34.07
1971,33.401
1972,32.936
1973,32.671
1974,32.584
1975,32.631
1976,32.752
1977,32.876
1978,32.94
1979,32.909
1980,32.759
1981,32.49
1982,32.136
1983,31.73
1984,31.284
1985,30.814
1986,30.336
1987,29.857
1988,29.388
1989,28.935
1990,28.505
1991,28.097
1992,27.703
1993,27.314
1994,26.927
1995,26.534
1996,26.127
1997,25.703
1998,25.262
1999,24.806
2000,24.337
2001,23.862
2002,23.388
2003,22.926
2004,22.481
2005,22.058
2006,21.662
2007,21.292
2008,20.945
1960,17.9
1961,18.2
1962,17.7
1963,18.2
1964,18.2
1965,17.8
1966,17.6
1967,17
1968,16.7
1969,16.8
1970,16.8
1971,17.2
1972,17
1973,16.4
1974,15.3
1975,14.1
1976,13.6
1977,14
1978,13.8
1979,14.1
1980,14.9
1981,14.9
1982,14.6
1983,13.7
1984,13.8
1985,13.9
1986,14.1
1987,13.8
1988,13.8
1989,13.5
1990,13.4
1991,13.3
1992,13
1993,12.3
1994,12.2
1995,12.5
1996,12.6
1997,12.4
1998,12.7
1999,12.7
2000,13.2
2001,13.1
2002,12.5
2003,12.7
2004,12.7
2005,12.695
2006,12.989
2007,12.69
2008,12.862
2007,14
1960,43.569
1961,43.219
1962,42.934
1963,42.707
1964,42.523
1965,42.356
1966,42.178
1967,41.966
1968,41.705
1969,41.389
1970,41.014
1971,40.583
1972,40.121
1973,39.659
1974,39.223
1975,38.862
1976,38.632
1977,38.546
1978,38.591
1979,38.735
1980,38.906
1981,39.015
1982,38.983
1983,38.76
1984,38.332
1985,37.707
1986,36.924
1987,36.064
1988,35.202
1989,34.385
1990,33.664
1991,33.078
1992,32.622
1993,32.276
1994,32.025
1995,31.831
1996,31.643
1997,31.411
1998,31.098
1999,30.688
2000,30.176
2001,29.574
2002,28.92
2003,28.252
2004,27.59
2005,26.951
2006,26.347
2007,25.782
2008,25.256
1960,30.595
1961,30.827
1962,31.062
1963,31.29
1964,31.514
1965,31.751
1966,32.03
1967,32.376
1968,32.801
1969,33.299
1970,33.855
1971,34.447
1972,35.04
1973,35.605
1974,36.125
1975,36.586
1976,36.989
1977,37.342
1978,37.652
1979,37.918
1980,38.131
1981,38.285
1982,38.378
1983,38.415
1984,38.405
1985,38.376
1986,38.361
1987,38.375
1988,38.41
1989,38.447
1990,38.432
1991,38.295
1992,37.987
1993,37.487
1994,36.799
1995,35.955
1996,35.007
1997,34.029
1998,33.086
1999,32.212
2000,31.432
2001,30.745
2002,30.127
2003,29.555
2004,29.025
2005,28.535
2006,28.082
2007,27.663
2008,27.273
1960,17.5
1961,17.9
1962,18.3
1963,18.5
1964,18.8
1965,18.3
1966,17.9
1967,17.5
1968,17.2
1969,16.6
1970,16.2
1971,16.1
1972,14.9
1973,13.9
1974,13.1
1975,12.4
1976,12
1977,11.7
1978,12.2
1979,13.1
1980,13.4
1981,13
1982,12.8
1983,12.8
1984,12.9
1985,13.3
1986,13.3
1987,13.6
1988,13.8
1989,13.6
1990,13.9
1991,13.7
1992,13.5
1993,13.1
1994,12.9
1995,12.5
1996,12.5
1997,12.3
1998,12
1999,11.8
2000,11.4
2001,11.3
2002,10.8
2003,11.6
2004,12
2005,11.997
2006,12.352
2007,12.659
2008,12.935
1960,24.253
1961,23.891
1962,23.412
1963,22.824
1964,22.155
1965,21.446
1966,20.752
1967,20.117
1968,19.579
1969,19.154
1970,18.843
1971,18.631
1972,18.477
1973,18.351
1974,18.239
1975,18.139
1976,18.056
1977,17.999
1978,17.971
1979,17.966
1980,17.976
1981,17.997
1982,18.016
1983,18.021
1984,17.997
1985,17.93
1986,17.807
1987,17.624
1988,17.379
1989,17.072
1990,16.696
1991,16.244
1992,15.73
1993,15.172
1994,14.593
1995,14.023
1996,13.49
1997,13.017
1998,12.62
1999,12.311
2000,12.095
2001,11.97
2002,11.915
2003,11.905
2004,11.928
2005,11.968
2006,12.012
2007,12.055
2008,12.087
1960,46.925
1961,47.152
1962,47.345
1963,47.497
1964,47.603
1965,47.654
1966,47.645
1967,47.577
1968,47.452
1969,47.274
1970,47.046
1971,46.773
1972,46.464
1973,46.128
1974,45.773
1975,45.409
1976,45.04
1977,44.669
1978,44.296
1979,43.923
1980,43.55
1981,43.175
1982,42.793
1983,42.4
1984,41.994
1985,41.569
1986,41.123
1987,40.655
1988,40.168
1989,39.664
1990,39.147
1991,38.62
1992,38.089
1993,37.561
1994,37.045
1995,36.546
1996,36.072
1997,35.623
1998,35.203
1999,34.812
2000,34.455
2001,34.134
2002,33.845
2003,33.581
2004,33.334
2005,33.096
2006,32.859
2007,32.615
2008,32.355
1960,49.165
1961,49.197
1962,49.209
1963,49.2
1964,49.172
1965,49.128
1966,49.071
1967,49.007
1968,48.938
1969,48.871
1970,48.808
1971,48.751
1972,48.701
1973,48.655
1974,48.615
1975,48.58
1976,48.552
1977,48.527
1978,48.501
1979,48.47
1980,48.429
1981,48.374
1982,48.301
1983,48.206
1984,48.083
1985,47.926
1986,47.731
1987,47.499
1988,47.23
1989,46.926
1990,46.589
1991,46.221
1992,45.828
1993,45.418
1994,44.996
1995,44.57
1996,44.144
1997,43.72
1998,43.302
1999,42.894
2000,42.502
2001,42.131
2002,41.779
2003,41.44
2004,41.108
2005,40.773
2006,40.422
2007,40.045
2008,39.633
1960,47.326
1961,47.712
1962,48.052
1963,48.332
1964,48.547
1965,48.691
1966,48.768
1967,48.79
1968,48.77
1969,48.715
1970,48.635
1971,48.539
1972,48.43
1973,48.309
1974,48.173
1975,48.014
1976,47.82
1977,47.58
1978,47.292
1979,46.961
1980,46.595
1981,46.205
1982,45.807
1983,45.42
1984,45.057
1985,44.736
1986,44.472
1987,44.262
1988,44.1
1989,43.977
1990,43.879
1991,43.788
1992,43.683
1993,43.544
1994,43.358
1995,43.112
1996,42.801
1997,42.432
1998,42.015
1999,41.554
2000,41.056
2001,40.529
2002,39.983
2003,39.428
2004,38.872
2005,38.325
2006,37.791
2007,37.27
2008,36.761
1960,41.727
1961,41.332
1962,40.673
1963,39.687
1964,38.463
1965,37.393
1966,37.017
1967,37.703
1968,39.576
1969,42.486
1970,45.965
1971,49.35
1972,51.99
1973,53.439
1974,53.566
1975,52.461
1976,50.442
1977,48.081
1978,45.862
1979,44.004
1980,42.644
1981,41.795
1982,41.288
1983,40.983
1984,40.847
1985,40.854
1986,40.98
1987,41.197
1988,41.475
1989,41.78
1990,42.086
1991,42.38
1992,42.66
1993,42.919
1994,43.141
1995,43.308
1996,43.408
1997,43.443
1998,43.415
1999,43.327
2000,43.186
2001,43.004
2002,42.793
2003,42.565
2004,42.324
2005,42.072
2006,41.803
2007,41.51
2008,41.188
1960,40.22
1961,40.226
1962,40.291
1963,40.408
1964,40.546
1965,40.653
1966,40.661
1967,40.522
1968,40.206
1969,39.709
1970,38.999
1971,38.056
1972,36.943
1973,35.768
1974,34.647
1975,33.775
1976,33.357
1977,33.5
1978,34.237
1979,35.546
1980,37.345
1981,39.498
1982,41.779
1983,43.969
1984,45.921
1985,47.495
1986,48.601
1987,49.27
1988,49.547
1989,49.449
1990,49.017
1991,48.312
1992,47.434
1993,46.476
1994,45.503
1995,44.562
1996,43.67
1997,42.813
1998,41.986
1999,41.211
2000,40.512
2001,39.905
2002,39.392
2003,38.968
2004,38.63
2005,38.374
2006,38.193
2007,38.067
2008,37.971
1960,18.9
1961,17.9
1962,18
1963,17.5
1964,18
1965,17.7
1966,17.9
1967,18.7
1968,18.2
1969,17.4
1970,16.5
1971,16
1972,15.9
1973,15.4
1974,16.1
1975,15.7
1976,16
1977,15.4
1978,15.5
1979,15.5
1980,15.4
1981,14.5
1982,14
1983,13.5
1984,12.7
1985,11.7
1986,11.3
1987,10.7
1988,10.7
1989,10.1
1990,10.1
1991,10.1
1992,10.1
1993,9.8
1994,10
1995,9.9
1996,9.6
1997,9.8
1998,9.4
1999,9.2
2000,11.7
2001,9.4
2002,9.3
2003,9.3
2004,9.2
2005,9.685
2006,10.05
2007,10
2008,10.278
1960,44.854
1961,43.464
1962,41.622
1963,39.42
1964,37.002
1965,34.581
1966,32.381
1967,30.556
1968,29.206
1969,28.381
1970,28.05
1971,28.108
1972,28.368
1973,28.677
1974,28.97
1975,29.234
1976,29.504
1977,29.839
1978,30.269
1979,30.768
1980,31.302
1981,31.832
1982,32.299
1983,32.644
1984,32.818
1985,32.753
1986,32.387
1987,31.728
1988,30.807
1989,29.665
1990,28.368
1991,26.999
1992,25.646
1993,24.388
1994,23.273
1995,22.33
1996,21.552
1997,20.896
1998,20.327
1999,19.842
2000,19.449
2001,19.162
2002,18.983
2003,18.907
2004,18.919
2005,18.999
2006,19.126
2007,19.275
2008,19.419
1981,21
1985,21.6
1989,21.8
1990,22.6
1991,21.4
1992,21.6
1993,21.4
1994,20.7
1995,20.1
1996,19
1997,19.6
1998,17.6
1999,16.8805704099822
2000,15.7473309608541
2001,16.6282165039929
2002,16.6077738515901
2003,15.7667576851933
2005,15.1222525617311
2006,14.8
2007,15.1
2008,14.798445229682
1960,46.362
1961,46.156
1962,45.961
1963,45.759
1964,45.54
1965,45.303
1966,45.059
1967,44.824
1968,44.614
1969,44.43
1970,44.277
1971,44.153
1972,44.051
1973,43.962
1974,43.876
1975,43.785
1976,43.685
1977,43.568
1978,43.425
1979,43.247
1980,43.014
1981,42.706
1982,42.322
1983,41.874
1984,41.378
1985,40.868
1986,40.385
1987,39.963
1988,39.618
1989,39.355
1990,39.161
1991,39.006
1992,38.852
1993,38.668
1994,38.443
1995,38.175
1996,37.876
1997,37.566
1998,37.257
1999,36.948
2000,36.632
2001,36.298
2002,35.933
2003,35.529
2004,35.085
2005,34.603
2006,34.09
2007,33.555
2008,33.009
1960,35.765
1961,35.883
1962,35.772
1963,35.421
1964,34.86
1965,34.164
1966,33.437
1967,32.778
1968,32.252
1969,31.883
1970,31.652
1971,31.5
1972,31.34
1973,31.108
1974,30.782
1975,30.36
1976,29.858
1977,29.32
1978,28.786
1979,28.278
1980,27.812
1981,27.397
1982,27.032
1983,26.715
1984,26.45
1985,26.246
1986,26.114
1987,26.046
1988,26.026
1989,26.033
1990,26.039
1991,26.013
1992,25.93
1993,25.77
1994,25.52
1995,25.168
1996,24.712
1997,24.174
1998,23.578
1999,22.945
2000,22.294
2001,21.646
2002,21.016
2003,20.421
2004,19.876
2005,19.392
2006,18.976
2007,18.618
2008,18.311
1960,42.62
1961,42.141
1962,41.736
1963,41.431
1964,41.221
1965,41.041
1966,40.799
1967,40.403
1968,39.801
1969,38.989
1970,38.002
1971,36.902
1972,35.786
1973,34.735
1974,33.79
1975,32.989
1976,32.346
1977,31.826
1978,31.389
1979,31.004
1980,30.619
1981,30.171
1982,29.626
1983,28.975
1984,28.228
1985,27.428
1986,26.64
1987,25.934
1988,25.36
1989,24.936
1990,24.669
1991,24.546
1992,24.515
1993,24.52
1994,24.525
1995,24.488
1996,24.375
1997,24.171
1998,23.87
1999,23.467
2000,22.959
2001,22.355
2002,21.683
2003,20.98
2004,20.272
2005,19.587
2006,18.951
2007,18.375
2008,17.869
1960,21.4038633821316
1965,19.8891030921894
1970,18.3531998292968
1975,15.9126103196577
1980,15.4466364999596
1981,15.5886690243387
1982,15.0491373243546
1983,15.0647729437341
1984,14.8637034498241
1985,14.3085221728818
1986,14.0544785297351
1987,14.0100309292233
1988,14.0762557500467
1989,13.9625080115063
1990,14.1436781695022
1991,13.9158224965079
1992,13.6531154721642
1993,13.2805111313491
1994,13.0769019034411
1995,12.7560614592229
1996,12.7226579161556
1997,12.5141822621287
1998,12.3720843486373
1999,12.2348954484725
2000,12.3655037658218
2001,11.9255634207026
2002,11.7277279886115
2003,11.790258925667
2004,11.7503557252332
2005,11.6206269499061
2006,11.7831415451173
2007,11.8852147229403
2008,11.9930075885128
1960,35.325
1961,35
1962,34
1963,33.5
1964,30.7
1965,28.1
1966,25.3
1967,23.7
1968,21.7
1969,21.3
1970,20
1971,19.7
1972,19.5
1973,19.4
1974,19.1
1975,17.9
1976,17.4
1977,17.5
1978,17.3
1979,16.8
1980,17
1981,16.8
1982,16.4
1983,15.6
1984,14.4
1985,14
1986,13
1987,12.6
1988,13.4
1989,12.3
1990,12
1991,12
1992,12.3
1993,12
1994,11.9
1995,11.2
1996,9.9
1997,9.1
1998,8.1
1999,7.8
2000,8.1
2001,7.2
2002,7.1
2003,6.9
2004,7.2
2005,8.4
2006,9.6
2007,10.2
